city_ibge_code,IDHM,IDHM_E,IDHM_L,IDHM_R,ANO_IDH,GINI
2109551,0.615,0.527,0.744,0.592,2010,0.57
2109601,0.632,0.592,0.752,0.566,2010,0.51
2109700,0.565,0.456,0.728,0.542,2010,0.55
2109759,0.525,0.435,0.722,0.461,2010,0.58
2109809,0.571,0.471,0.746,0.531,2010,0.5
2109908,0.674,0.615,0.788,0.633,2010,0.53
2110005,0.55,0.452,0.7,0.525,2010,0.58
2110039,0.599,0.51,0.723,0.583,2010,0.52
2110104,0.555,0.458,0.76,0.49,2010,0.51
2110203,0.609,0.551,0.743,0.553,2010,0.53
2110237,0.51,0.394,0.758,0.445,2010,0.57
2110278,0.518,0.416,0.738,0.454,2010,0.62
2110302,0.566,0.465,0.714,0.547,2010,0.57
2110401,0.541,0.452,0.749,0.468,2010,0.62
2110500,0.602,0.545,0.762,0.525,2010,0.55
2110609,0.572,0.479,0.762,0.514,2010,0.59
2110658,0.59,0.486,0.732,0.576,2010,0.69
2110708,0.582,0.504,0.713,0.549,2010,0.6
2110807,0.557,0.43,0.778,0.517,2010,0.57
2110856,0.584,0.479,0.748,0.556,2010,0.51
2110906,0.528,0.4,0.733,0.503,2010,0.57
2111003,0.598,0.577,0.752,0.493,2010,0.63
2111029,0.509,0.397,0.684,0.487,2010,0.53
2111052,0.609,0.542,0.753,0.554,2010,0.53
2111078,0.517,0.401,0.711,0.486,2010,0.52
2111102,0.615,0.522,0.726,0.613,2010,0.56
2111201,0.708,0.7,0.79,0.642,2010,0.51
2111250,0.557,0.48,0.719,0.501,2010,0.55
2111300,0.768,0.752,0.813,0.741,2010,0.61
2111409,0.54,0.438,0.716,0.503,2010,0.55
2111508,0.616,0.515,0.723,0.627,2010,0.68
2111532,0.605,0.523,0.735,0.577,2010,0.53
2111573,0.6,0.524,0.738,0.558,2010,0.51
2111607,0.61,0.521,0.749,0.583,2010,0.55
2111631,0.516,0.41,0.7,0.478,2010,0.54
2111672,0.516,0.391,0.738,0.475,2010,0.54
2111706,0.592,0.541,0.762,0.504,2010,0.62
2111722,0.493,0.369,0.72,0.45,2010,0.58
2111748,0.538,0.435,0.689,0.52,2010,0.51
2111763,0.602,0.515,0.743,0.57,2010,0.53
2111789,0.519,0.433,0.735,0.44,2010,0.59
2111805,0.564,0.456,0.774,0.509,2010,0.59
2111904,0.579,0.505,0.731,0.526,2010,0.59
2111953,0.568,0.447,0.761,0.538,2010,0.51
2112001,0.599,0.491,0.777,0.562,2010,0.58
2112100,0.537,0.427,0.73,0.498,2010,0.62
2112209,0.649,0.579,0.768,0.614,2010,0.5
2112233,0.606,0.534,0.738,0.565,2010,0.46
2112274,0.555,0.481,0.709,0.502,2010,0.48
2112308,0.572,0.483,0.726,0.534,2010,0.57
2112407,0.561,0.461,0.776,0.493,2010,0.59
2112456,0.536,0.402,0.774,0.495,2010,0.52
2112506,0.561,0.451,0.722,0.543,2010,0.56
2112605,0.588,0.522,0.77,0.506,2010,0.6
2112704,0.542,0.425,0.768,0.487,2010,0.59
2112803,0.618,0.548,0.758,0.567,2010,0.57
2112852,0.581,0.491,0.718,0.555,2010,0.45
2112902,0.596,0.534,0.733,0.54,2010,0.56
2113009,0.57,0.477,0.688,0.563,2010,0.57
2114007,0.595,0.505,0.745,0.559,2010,0.52
2200053,0.528,0.411,0.692,0.517,2010,0.5
2200103,0.599,0.526,0.742,0.55,2010,0.49
2200202,0.639,0.569,0.763,0.6,2010,0.49
2200251,0.531,0.391,0.716,0.535,2010,0.51
2200277,0.585,0.475,0.749,0.564,2010,0.5
2200301,0.585,0.47,0.751,0.567,2010,0.58
2200400,0.614,0.512,0.767,0.59,2010,0.55
2200459,0.578,0.496,0.749,0.52,2010,0.6
2200509,0.598,0.497,0.75,0.574,2010,0.53
2200608,0.63,0.555,0.737,0.61,2010,0.6
2200707,0.594,0.512,0.768,0.534,2010,0.52
2200806,0.62,0.527,0.781,0.579,2010,0.51
2200905,0.583,0.468,0.752,0.563,2010,0.52
2200954,0.519,0.378,0.738,0.502,2010,0.48
2201002,0.56,0.449,0.761,0.514,2010,0.55
2201051,0.499,0.382,0.706,0.462,2010,0.57
2201101,0.554,0.442,0.722,0.532,2010,0.56
2201150,0.564,0.446,0.751,0.537,2010,0.56
2201176,0.577,0.471,0.777,0.526,2010,0.51
2201200,0.595,0.485,0.779,0.558,2010,0.51
2201309,0.557,0.423,0.73,0.56,2010,0.53
2201408,0.612,0.514,0.729,0.611,2010,0.51
2201507,0.545,0.398,0.755,0.54,2010,0.54
2201556,0.576,0.519,0.709,0.52,2010,0.59
2201572,0.551,0.448,0.696,0.537,2010,0.53
2201606,0.557,0.394,0.78,0.561,2010,0.55
2201705,0.612,0.507,0.758,0.596,2010,0.53
2201739,0.489,0.342,0.702,0.486,2010,0.54
2201770,0.575,0.46,0.772,0.534,2010,0.51
2201804,0.632,0.532,0.773,0.614,2010,0.58
2201903,0.668,0.562,0.799,0.665,2010,0.62
2201919,0.532,0.372,0.77,0.526,2010,0.57
2201929,0.542,0.415,0.707,0.542,2010,0.45
2201945,0.56,0.434,0.729,0.555,2010,0.5
2201960,0.577,0.446,0.752,0.572,2010,0.48
2201988,0.515,0.354,0.725,0.531,2010,0.52
2202000,0.565,0.452,0.735,0.544,2010,0.54
2202026,0.574,0.46,0.78,0.527,2010,0.57
2202059,0.583,0.476,0.769,0.54,2010,0.53
2202075,0.562,0.449,0.752,0.525,2010,0.49
2202083,0.546,0.4,0.739,0.551,2010,0.63
2202091,0.588,0.486,0.744,0.561,2010,0.53
2202109,0.544,0.397,0.776,0.524,2010,0.55
2202117,0.537,0.385,0.762,0.528,2010,0.65
2202133,0.56,0.446,0.721,0.545,2010,0.48
2202174,0.528,0.401,0.766,0.479,2010,0.54
2202208,0.656,0.566,0.793,0.629,2010,0.53
2202251,0.583,0.485,0.778,0.525,2010,0.51
2202307,0.576,0.462,0.724,0.571,2010,0.52
2202406,0.583,0.465,0.773,0.552,2010,0.51
2202455,0.553,0.464,0.725,0.503,2010,0.56
